wind_speed,best_nozzle,min_achievable_drift,coverage_at_best
0.5,air_induction_cvi,0.0,1.0
1.0,air_induction_cvi,0.0,1.0
1.5,air_induction_cvi,0.0,1.0
2.0,air_induction_cvi,0.0,1.0
2.5,air_induction_cvi,0.0,1.0
3.0,air_induction_cvi,0.0,1.0
3.5,air_induction_cvi,0.0,1.0
4.0,air_induction_tti,0.0,1.0
4.5,air_induction_id,0.0,0.999225
5.0,air_induction_tti,0.0,1.0
5.5,air_induction_tti,0.0,0.998774
6.0,air_induction_tti,2.3e-05,0.999133
6.5,air_induction_tti,0.001049,0.998519
7.0,air_induction_tti,0.002014,1.0
7.5,air_induction_tti,0.005412,0.994487
8.0,air_induction_tti,0.008092,0.991466
8.5,air_induction_tti,0.008046,0.993159
9.0,air_induction_tti,0.009909,0.990451
9.5,air_induction_tti,0.009909,0.990451
10.0,air_induction_tti,0.009909,0.990451
